"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2461","test_agregar_producto_carrito[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","11727","test_escribir_review_producto[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","59","test_suscripcion[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","23694","test_verificar_categorias[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","3449","test_checkout_completo[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","2542","test_login_correcto[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","1132","test_login_incorrecto[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","3822","test_registrar_usuario[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","1221","test_logout[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","338","test_borrar_producto_del_carrito[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","3796","test_agregar_producto_carrito_hover[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","1036","test_registrar_usuario_existente[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
"","384","test_scroll_button[chromium]","test","2026-06-15","passed","2026-06-15","","test_ejercicio3","",""
